sample_id,id,parent_context,thread_title,sentence,human_has_quad,human_aspect,human_category_label,human_opinion,human_sentiment_label,human_quads_json,notes
HV900_0164,n3gdfgo,,Your unpopular takes on llms,"Publisher should always provide the ""best practice"" of how to inference the model, like what qwen team did for the qwen3 release",Yes,qwen3,SOFTWARE,"provide the ""best practice"" of how to inference the model",Positive,"[{""aspect"":""qwen3"",""category"":""SOFTWARE"",""opinion"":""provide the \""best practice\"" of how to inference the model"",""sentiment"":""Positive""}]",
HV900_0397,n3d35vh,"Yes absolutely, it is also quite interesting to me, i did not know much about ai when i set to build this machine but knowing it better now, i would definitely set on some 4090 for this specific reason.",Kimi has impressive coding performance even deep,"This model is a lug. Takes me 8x B200 to run it with reduced max context length. I can run it native with full 128k on 8x Mi325, but it feels like a waste haha Prob going to leave it on a node of 8x H200 with 40k context for testing",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""This model"",""category"":""RESOURCES"",""opinion"":""is a lug"",""sentiment"":""Negative""},{""aspect"":""This model"",""category"":""RESOURCES"",""opinion"":""Takes me 8x B200 to run it with reduced max context length"",""sentiment"":""Negative""},{""aspect"":""it"",""category"":""TECHNICAL"",""opinion"":""can run it native with full 128k on 8x Mi325"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""RESOURCES"",""opinion"":""feels like a waste"",""sentiment"":""Negative""}]",
HV900_0127,nyozfnh,,In 72gb vram is,"If you need a big context Window, like 200k tokens, you can go with Qwen/Qwen3-Next-80B-A3B-Thinking .",Yes,Qwen3-Next-80B-A3B-Thinking,TECHNICAL,"a big context Window, like 200k tokens",Positive,"[{""aspect"":""Qwen3-Next-80B-A3B-Thinking"",""category"":""TECHNICAL"",""opinion"":""a big context Window, like 200k tokens"",""sentiment"":""Positive""}]",
HV900_0063,o9613fj,,Qwen3527b 2b uncensored aggressive release gguf,"I just tried this it goes in a loop like I can see the response being concatenated continuously with the same text over and over again , how can I prevent this in llama cpp?",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""this"",""category"":""BEHAVIOR"",""opinion"":""goes in a loop"",""sentiment"":""Negative""},{""aspect"":""the response"",""category"":""BEHAVIOR"",""opinion"":""the response being concatenated continuously with the same text over and over again"",""sentiment"":""Negative""}]",
HV900_0254,nc34l7q,,Built a 7k workstation to run gptoss 120b locally,"Dual 5090s Threadripper Pro 7975WX 512GB DDR5 ECC RAM WS WRX90E-SAGE motherboard Runs GPT-OSS-120B at full 130K context, 100% GPU but experts on CPU at 25-40 tok/sec. Its reasoning is excellent and it is by far the best model I’ve used. It is the best general model available no doubt. Total build cost was about 20K.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GPT-OSS-120B"",""category"":""TECHNICAL"",""opinion"":""Runs GPT-OSS-120B at full 130K context"",""sentiment"":""Positive""},{""aspect"":""GPT-OSS-120B"",""category"":""PERFORMANCE"",""opinion"":""experts on CPU at 25-40 tok/sec"",""sentiment"":""Positive""},{""aspect"":""GPT-OSS-120B"",""category"":""BEHAVIOR"",""opinion"":""Its reasoning is excellent and it is by far the best model I’ve used"",""sentiment"":""Positive""},{""aspect"":""GPT-OSS-120B"",""category"":""BEHAVIOR"",""opinion"":""the best general model available no doubt"",""sentiment"":""Positive""}]",
HV900_0736,ob5oc1u,,I just realised how good glm 5 is,"For me GLM it’s almost useless for Unreal Engine, but even Claude sonnet makes everything I need nicely :)",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""GLM"",""category"":""INTELLIGENCE"",""opinion"":""almost useless for Unreal Engine"",""sentiment"":""Negative""},{""aspect"":""Claude sonnet"",""category"":""INTELLIGENCE"",""opinion"":""makes everything I need nicely"",""sentiment"":""Positive""}]",
HV900_0552,o9wr90o,,Any benchmark for m5 pro,"That said: I have a 64gb M1 Max and the number of models I am able to run is quite satisfying, I think you’ll be fine with 64gb.",Yes,models,RESOURCES,able to run is quite satisfying,Positive,"[{""aspect"":""models"",""opinion"":""able to run is quite satisfying"",""category"":""RESOURCES"",""sentiment"":""Positive""}]",
HV900_0312,o457wgc,,Nemo 30b is insane 1m token ctx on one 3090,That a very broad question. For coding I dont use local models. If I did it would be Qwen Next or for some light scaffolding GPT OSS 20b,Yes,local models,INTELLIGENCE,For coding I dont use local models,Negative,"[{""aspect"":""local models"",""category"":""INTELLIGENCE"",""opinion"":""For coding I dont use local models"",""sentiment"":""Negative""}]",
HV900_0192,nr866qj,,Unslothqwen3next80ba3binstructgguf hugging face,"How Qwen3-Next-80B intelligence compares to OSS-GPT-120B? I heard complains that OSS-GPT-120B is significantly censored, but haven't experienced censorship with it much. How do they compare for coding?",Yes,OSS-GPT-120B,BEHAVIOR,is significantly censored,Negative,"[{""aspect"":""OSS-GPT-120B"",""category"":""BEHAVIOR"",""opinion"":""is significantly censored"",""sentiment"":""Negative""}]",
HV900_0301,o74fhui,"But in the agentic tool use score it is dominating over GPT 4.1. And it's not even winning in one AI test. It's nearly dominating in every test. Have you ever personally tried flash and 4.1? Together. if yes then, what do you felt?",Glm47 flash vs gpt41 is glm actually smarter,"Yes, i have used both. GLM Flash is better at tool use. But GPT 4.1 feels smarter and knows much more",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""GLM Flash"",""category"":""COMPARATIVE"",""opinion"":""is better at tool use"",""sentiment"":""Positive""},{""aspect"":""GPT 4.1"",""category"":""COMPARATIVE"",""opinion"":""feels smarter and knows much more"",""sentiment"":""Positive""}]",
HV900_0771,o9z9lqu,,Trouble with consistency in local models,qwen3 should work fine for structured extraction at that context length. id try qwen3.5-14b or 32b at q4/q5 before ruling it out.,Yes,qwen3,TECHNICAL,should work fine for structured extraction at that context length,Positive,"[{""aspect"":""qwen3"",""category"":""TECHNICAL"",""opinion"":""should work fine for structured extraction at that context length"",""sentiment"":""Positive""}]",
HV900_0032,nnes244,,You can now finetune deepseekocr locally,"1. Why are we trying to make r/localllm a thing? 2. DeepSeek-OCR had quite some issues with serving so far, that's why people are a bit discouraged, despite the memory requirements being very low. So far the only way is to [compile the latest vllm to get it to work]( Nonetheless, I found it to be a great model!",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""DeepSeek-OCR"",""category"":""PERFORMANCE"",""opinion"":""had quite some issues with serving so far"",""sentiment"":""Negative""},{""aspect"":""DeepSeek-OCR"",""category"":""RESOURCES"",""opinion"":""memory requirements being very low"",""sentiment"":""Positive""},{""aspect"":""a great model"",""category"":""BEHAVIOR"",""opinion"":""a great model"",""sentiment"":""Positive""}]",
HV900_0449,nfx5fo8,"Anthropic models were never known to be good for creative writing , i have always felt it was the most robotic and stoic assistant of them all , however it's great for coding. If you want to compare magistral/mistral model to a sota model with personality, try either gpt5 or grok4 , these are the ones that proved to be most ""chatty"" and had the most personality imo.",Rant magistralsmall2509 claude4,>Anthropic models were never known to be good for creative writing I use it for professional writing. And it's amazing at full-precision. It took me about a year to catch onto the bait-and-switch scam Anthropic is pulling with their models and quants.,Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""models"",""category"":""BEHAVIOR"",""opinion"":""amazing at full-precision"",""sentiment"":""Positive""},{""aspect"":""models"",""category"":""TECHNICAL"",""opinion"":""bait-and-switch scam Anthropic is pulling with their models and quants"",""sentiment"":""Negative""}]",
HV900_0385,o2kv3ly,,Mistral ceo arthur mensch if you treat,"I get the impression that he is arguing for companies to use local LLMs, not individual consumers. In that case, maintaining your own server infrastructure becomes far more viable.",Yes,local LLMs,SOFTWARE,maintaining your own server infrastructure becomes far more viable,Positive,"[{""aspect"":""local LLMs"",""opinion"":""maintaining your own server infrastructure becomes far more viable"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]",
HV900_0725,nnc45c2,,Unified memory is the future not gpu for local ai,"These could be useful for local inference for smaller 4B to 12B models at low power, much lower than GPU or CPU inference.",Yes,smaller 4B to 12B models,RESOURCES,useful for local inference for smaller 4B to 12B models at low power,Positive,"[{""aspect"":""smaller 4B to 12B models"",""opinion"":""useful for local inference for smaller 4B to 12B models at low power"",""category"":""RESOURCES"",""sentiment"":""Positive""}]",
HV900_0631,n2o3xip,,Openai delays its open weight model again for,Sam I'll just keep running Deepseek.,Yes,Deepseek,BEHAVIOR,keep running Deepseek,Positive,"[{""aspect"":""Deepseek"",""opinion"":""keep running Deepseek"",""category"":""BEHAVIOR"",""sentiment"":""Positive""}]",
HV900_0577,nwovuky,,Project i treated llm inference like a physical,"And Gemma is the natural test case, especially since GemmaScope2 gives you the full suite of traditional interpretability tools to compare with.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Gemma"",""category"":""INTELLIGENCE"",""opinion"":""is the natural test case"",""sentiment"":""Positive""},{""aspect"":""GemmaScope2"",""category"":""INTELLIGENCE"",""opinion"":""gives you the full suite of traditional interpretability tools to compare with"",""sentiment"":""Positive""}]",
HV900_0157,o18bkix,,Chromes local ai model in production gemini nano,"I talk about this in the full article linked at the bottom, but it's pretty exciting that we're really seeing a BIG new browser feature that we haven't had previously. I think we're going to see so much cool stuff come out of this and it really is so easy to implement.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""it"",""category"":""SOFTWARE"",""opinion"":""BIG new browser feature"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""SOFTWARE"",""opinion"":""is so easy to implement."",""sentiment"":""Positive""}]",
HV900_0346,o9v44vm,,Testing 3 uncensored qwen 35b models on strix,Nope does not always work with chatgpt and Claude or local. And if using local why fight just get uncensored model!,Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""chatgpt"",""category"":""BEHAVIOR"",""opinion"":""does not always work"",""sentiment"":""Negative""},{""aspect"":""Claude"",""category"":""BEHAVIOR"",""opinion"":""does not always work"",""sentiment"":""Negative""}]",
HV900_0433,obcsg5a,Although releasing the open weights helps validate the model and drive inference traffic to their own endpoint as most people can’t run it themselves anyway.,Minimaxm27 what do you think is the likelihood it,"Agreed, but there’s also a downside: the quantized versions seem far worse than they should be. The native FP8 is the dog’s bollocks, but who’s running that locally? (Me) If people “try MiniMax” but it’s a Q2 GGUF then I’m not surprised to hear “it sucked”.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""MiniMax"",""category"":""TECHNICAL"",""opinion"":""quantized versions seem far worse than they should be"",""sentiment"":""Negative""},{""aspect"":""MiniMax"",""category"":""TECHNICAL"",""opinion"":""native FP8 is the dog’s bollocks"",""sentiment"":""Positive""},{""aspect"":""MiniMax"",""category"":""TECHNICAL"",""opinion"":""not surprised to hear “it sucked”"",""sentiment"":""Negative""}]",
HV900_0390,o92w8ns,Yep! It can run on my 12GB GPU at the Q6 quant at 15 tokens a second.,Can it run qwen 35 9b model,"It's an incredible beast, it just fixed a broken codebase for me by itself!",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""It"",""category"":""INTELLIGENCE"",""opinion"":""fixed a broken codebase for me by itself"",""sentiment"":""Positive""},{""aspect"":""It"",""category"":""BEHAVIOR"",""opinion"":""an incredible beast"",""sentiment"":""Positive""}]",
HV900_0784,nrf2zgn,,Gaming laptop for llm and sd,"I got a g16 4070 8gb, 64gb ram and it’s usable with gpt 20b.",Yes,gpt 20b,RESOURCES,usable with gpt 20b,Positive,"[{""aspect"":""gpt 20b"",""category"":""RESOURCES"",""opinion"":""usable with gpt 20b"",""sentiment"":""Positive""}]",
HV900_0405,obfytto,"As of now, bitnet is 4k context model, I'm working on taking it to 8k, then 12k and finally 32k. Also trying to quantize a qwen 2.5 model (the 3.5 versions have very different architectures so I haven't tried dabbling much there)",Mathematics behind extreme quantization of,"Crack Ministral then if you can. Or some of the top small SWA models. Cus if agents can handle bitnet, we know this will take off next year.",Yes,bitnet,TECHNICAL,will take off next year,Positive,"[{""aspect"":""bitnet"",""opinion"":""will take off next year"",""category"":""TECHNICAL"",""sentiment"":""Positive""}]",
HV900_0727,n5jjbd9,,Can anyone suggest the best local model for multi,"Gemma3-27B has good multi-turn chat skills, also very good RAG skills, and in theory gives you 128K context.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Gemma3-27B"",""category"":""BEHAVIOR"",""opinion"":""has good multi-turn chat skills"",""sentiment"":""Positive""},{""aspect"":""Gemma3-27B"",""category"":""SOFTWARE"",""opinion"":""very good RAG skills"",""sentiment"":""Positive""},{""aspect"":""Gemma3-27B"",""category"":""TECHNICAL"",""opinion"":""gives you 128K context"",""sentiment"":""Positive""}]",
HV900_0774,nygr5eh,,Glm46v 108b 4bit iquant,"Gemini really said ""nah bro"" and you just proved it wrong lmao That's some solid performance for the setup though, 4 t/s at 8k context isn't bad at all. The fact it can actually follow through on complex tasks like building monitoring solutions is pretty impressive for a local model RIP your power bill with those 5060TIs though 💸",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""it"",""category"":""PERFORMANCE"",""opinion"":""solid performance for the setup"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""PERFORMANCE"",""opinion"":""4 t/s at 8k context isn't bad at all"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""INTELLIGENCE"",""opinion"":""can actually follow through on complex tasks like building monitoring solutions"",""sentiment"":""Positive""}]",
HV900_0768,o9qcahy,,If youre using nvidias nvfp4 of qwen35397 try a,"Thanks for testing my quant, and raising this problem with me! It was true that there is quality issue with my Qwen 3.5 397B, as it was quantized from a different config from my other Qwen 3.5 quants. It is being requantized at the moment :)",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""Qwen 3.5 397B"",""category"":""TECHNICAL"",""opinion"":""there is quality issue with my Qwen 3.5 397B"",""sentiment"":""Negative""},{""aspect"":""Qwen 3.5 397B"",""category"":""TECHNICAL"",""opinion"":""is being requantized at the moment"",""sentiment"":""Neutral""}]",
HV900_0484,nfsoc0b,,Local llm coding ai,"I use Qwen3 code (30B-3A). Have been successful with Ollama and llama.cpp. Ollama is notorious for having a short context length (4096), and then overflows causes mistakes as there is missing information when it shifts the tokens around. Qwen3 says to allocate a fixed larger context and switch off ""shifting"" of context.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen3"",""category"":""INTELLIGENCE"",""opinion"":""Have been successful"",""sentiment"":""Positive""},{""aspect"":""Qwen3"",""category"":""TECHNICAL"",""opinion"":""allocate a fixed larger context and switch off \""shifting\"" of context"",""sentiment"":""Positive""}]",
HV900_0468,nv6a56y,,Best model in the 8b range for rag in 2025,"Thanks for reporting back, I'm also looking for a good RAG model and results with granite weren't good at all. I'll try qwen2.5-7b-instruct as you suggested.",Yes,granite,SOFTWARE,results with granite weren't good at all,Negative,"[{""aspect"":""granite"",""category"":""SOFTWARE"",""opinion"":""results with granite weren't good at all"",""sentiment"":""Negative""}]",
HV900_0012,n5mjhye,"It's also misleading. GLM-4.5 uses more ram than DeepSeek R1, since it's native precision is BF16, not FP8",Glm shattered the record for worst benchmark jpeg,This isn’t a really fair because even though deepseekv3 was trained with online FP8 quantization the master weights were always kept in BF16 and the model was released in BF16. Most inference providers run deepseekv3 in BF16 not FP8! So comparing models to deepseek in BF16 is reasonable!,Yes,Multi,Multi,Multi,Neutral,"[{""aspect"":""deepseekv3"",""category"":""TECHNICAL"",""opinion"":""was trained with online FP8 quantization"",""sentiment"":""Neutral""},{""aspect"":""deepseekv3"",""category"":""TECHNICAL"",""opinion"":""the master weights were always kept in BF16 and the model was released in BF16"",""sentiment"":""Neutral""},{""aspect"":""deepseekv3"",""category"":""TECHNICAL"",""opinion"":""Most inference providers run deepseekv3 in BF16 not FP8"",""sentiment"":""Neutral""}]",
HV900_0255,n6vwdzs,,Glm 45 air produces better code without thinking,"I set the temp to 0.6, top\_p to 1 (per the blog) and top\_k to 20. What is interesting is that, in thinking code, I found the code in the program that caused the collision detection problem, and asked glm to fix it. The model agreed that it was the problem and proceeded to change the code, but the result was still wrong. So I manually changed the code myself and it worked.",Yes,0.8B,PERFORMANCE,"0.8B can be used as a draft model, once they fix it",Neutral,"[{""aspect"":""0.8B"",""category"":""PERFORMANCE"",""opinion"":""0.8B can be used as a draft model, once they fix it"",""sentiment"":""Neutral""}]",
HV900_0332,oai5gkz,,Anyone using multi model with the qwen 35 series,"Maybe if you're using llama.cpp based inference app, 0.8B can be used as a draft model, once they fix it. I think one of these PR on github is trying to fix speculative decoding for Qwen3.5 model series. [server : speculative checkpointing by srogmann · Pull Request #19493 · ggml-org/llama.cpp]( [fix: speculative decoding broken on hybrid SSM/MoE (Qwen3.5 MoE) by eauchs · Pull Request #20075 · ggml-org/llama.cpp](",Yes,glm,INTELLIGENCE,"proceeded to change the code, but the result was still wrong",Negative,"[{""aspect"":""glm"",""category"":""INTELLIGENCE"",""opinion"":""proceeded to change the code, but the result was still wrong"",""sentiment"":""Negative""}]",
HV900_0747,oce4ts5,,Did qwen 35 hallucinating,"This is completely wrong and entirely made up. Continue has no clue what a chat template even is, it just interfaces with OpenAI-compatible APIs. Qwen3.5 also doesn’t use chatml. OP, don’t listen to this AI spam account.",Yes,Qwen3.5,SOFTWARE,doesn’t use chatml,Neutral,"[{""aspect"":""Qwen3.5"",""category"":""SOFTWARE"",""opinion"":""doesn’t use chatml"",""sentiment"":""Neutral""}]",
HV900_0741,nbxjq6l,,I pretrained and postrained a llm with less than,Pretraining the base model I used modified llama architecture with spiking and ltc neural networks,Yes,llama architecture,TECHNICAL,used modified llama architecture with spiking and ltc neural networks,Neutral,"[{""aspect"":""llama architecture"",""category"":""TECHNICAL"",""opinion"":""used modified llama architecture with spiking and ltc neural networks"",""sentiment"":""Neutral""}]",
HV900_0215,ntmrov6,,7b moe with 1b active,"It's getting popular slowly IMO. Reason it's not already popular because many not aware of these tiny/small MOE models. Here few more * LLaDA-MoE-7B-A1B-Instruct-TD * OLMoE-1B-7B-0125 * Phi-mini-MoE-instruct (Similar size, but 2.4B active) * Megrez2-3x7B-A3B (Similar size, but 3B active. llama.cpp support in progress)",Yes,tiny/small MOE models,TECHNICAL,getting popular slowly,Positive,"[{""aspect"":""tiny/small MOE models"",""opinion"":""getting popular slowly"",""category"":""TECHNICAL"",""sentiment"":""Positive""}]",
HV900_0526,obl53w5,,24gb vram users have you tried qwen359budq8 k xl,"I think, so far, I have found the 27b model to be better in terms of output quality. That being said, it's slower and I can't fit as much context... so if I need more speed or context, I pull out the 9b. Both are super good models for 24gb. I do wish I had a 5090 (or another GPU) to run a higher quant of the 27b though...",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""the 27b model"",""category"":""INTELLIGENCE"",""opinion"":""the 27b model to be better in terms of output quality"",""sentiment"":""Positive""},{""aspect"":""it"",""category"":""PERFORMANCE"",""opinion"":""it's slower and I can't fit as much context"",""sentiment"":""Negative""},{""aspect"":""the 9b"",""category"":""PERFORMANCE"",""opinion"":""need more speed or context"",""sentiment"":""Positive""},{""aspect"":""Both"",""category"":""INTELLIGENCE"",""opinion"":""Both are super good models for 24gb"",""sentiment"":""Positive""}]",
HV900_0459,obh0c32,,I think i made the best general use system prompt,"I use 397b in Claude CLI with a custom-made bridge. It strips unnecessary headers, blocks web search (with a hook redirected to searXNG running on my NAS), translates Anthropic to OpenAI end language, and has a token multiplier to trigger auto-compacting earlier which is sometimes useful for performance. Works really well, and can use all Claude agents (like front-end-design) and auditors (experts for memory leaks etc.).",Yes,397b,SOFTWARE,Works really well,Positive,"[{""aspect"":""397b"",""opinion"":""Works really well"",""category"":""SOFTWARE"",""sentiment"":""Positive""}]",
HV900_0296,ncg95wk,What do actually people use embedding models for? like i knew the applications but how does it purposely help w it,Embeddinggemma 300m parameter stateoftheart for,"For me it is a huge filter method between database and llm. In my database I can have 50.000 classifications for products, I can't feed an llm that kind of size. I use embeddings to get like 500 somewhat like classifications and then I let the llm go over the 500.",Yes,it,SOFTWARE,a huge filter method between database and llm,Positive,"[{""aspect"":""it"",""category"":""SOFTWARE"",""opinion"":""a huge filter method between database and llm"",""sentiment"":""Positive""}]",
HV900_0465,n71h7p0,,Smallthinker trained on deepseek,"No it's called hallucination. It knows nothing about itself. But it knows there is a cool model called DeepSeek, so being forced to make a guess it completes the sentence saying it *is* DeepSeek (though best guess is still probably not all that confident, you can check logprob).",Yes,Multi,Multi,Multi,Negative,"[{""aspect"":""It"",""category"":""BEHAVIOR"",""opinion"":""hallucination"",""sentiment"":""Negative""},{""aspect"":""It"",""category"":""INTELLIGENCE"",""opinion"":""knows nothing about itself"",""sentiment"":""Negative""}]",
HV900_0478,mxc9v5h,,Openai delays their open source model claiming to,They don't even have GPT3 GGUF.,Yes,GPT3,RESOURCES,don't even have GPT3 GGUF.,Negative,"[{""aspect"":""GPT3"",""category"":""RESOURCES"",""opinion"":""don't even have GPT3 GGUF."",""sentiment"":""Negative""}]",
HV900_0535,nz8b6ny,,Hypernova 60b derived from oss 120b,Honestly I think you'd be surprised how well gpt-oss-120b could run on that system Using llama.cpp with --n-cpu-moe somewhere from 36 to 40 I wouldn't be surprised if you could still achieve 10-15 tok/s,Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""gpt-oss-120b"",""category"":""PERFORMANCE"",""opinion"":""you'd be surprised how well gpt-oss-120b could run on that system"",""sentiment"":""Positive""},{""aspect"":""gpt-oss-120b"",""category"":""PERFORMANCE"",""opinion"":""achieve 10-15 tok/s"",""sentiment"":""Positive""}]",
HV900_0122,nkg4eju,,Why is perplexity so fast,Likely a mix of using small models (at some point they used a fine tuned Llama 8b for non pro sonar) and pre-indexed web pages so searches don't take a while.,Yes,Llama 8b,TECHNICAL,used a fine tuned Llama 8b for non pro sonar,Neutral,"[{""aspect"":""Llama 8b"",""category"":""TECHNICAL"",""opinion"":""used a fine tuned Llama 8b for non pro sonar"",""sentiment"":""Neutral""}]",
HV900_0719,n77ensy,"man, you can tell them your ram (even though it could really only be 128gb i imagine) and tokens/s. dont be so mean. but some people do ask for too much, like youre showing yourself run ollama and also state the quant.",Gptoss120b blazing fast on m4 max mbp,"A Q3 GGUF could fit in a 64GB M4 Max, since Q4 is only 63.39GB",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""A Q3 GGUF"",""category"":""RESOURCES"",""opinion"":""A Q3 GGUF could fit in a 64GB M4 Max"",""sentiment"":""Positive""},{""aspect"":""Q4"",""category"":""RESOURCES"",""opinion"":""Q4 is only 63.39GB"",""sentiment"":""Positive""}]",
HV900_0064,nhvbzqg,,Need help and resources to learn on how to run,"Best local models are kimi k2, glm 4.5 and glm 4.6.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""kimi k2"",""category"":""COMPARATIVE"",""opinion"":""Best local models"",""sentiment"":""Positive""},{""aspect"":""glm 4.5"",""category"":""COMPARATIVE"",""opinion"":""Best local models"",""sentiment"":""Positive""},{""aspect"":""glm 4.6"",""category"":""COMPARATIVE"",""opinion"":""Best local models"",""sentiment"":""Positive""}]",
HV900_0523,nvifkae,,What is a budget friendly setup to run glm 47,"The AMD 8000 series supports up to **256GB (64GB x 4)** of RAM and can run **GLM-4.7 (Q4 quantization)**, but the performance feels slow.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""GLM-4.7"",""category"":""RESOURCES"",""opinion"":""can run **GLM-4.7 (Q4 quantization)**"",""sentiment"":""Positive""},{""aspect"":""GLM-4.7"",""category"":""PERFORMANCE"",""opinion"":""performance feels slow"",""sentiment"":""Negative""}]",
HV900_0227,o7q7v5x,Oh? Is there a specific issue with the qwen one?,Best way to run qwen3.5:35b-a3b on Mac?,"[ but note it affects much more quants than just the Q4, as random IQ2 quants also have those layers.",Yes,it,TECHNICAL,"affects much more quants than just the Q4, as random IQ2 quants also have those layers",Negative,"[{""aspect"":""it"",""category"":""TECHNICAL"",""opinion"":""affects much more quants than just the Q4, as random IQ2 quants also have those layers"",""sentiment"":""Negative""}]",
HV900_0690,odblixe,,Running qwen3527b locally as the primary model in,"I personally found It to be pretty decent. The biggest issue for me is the limited 64K context. Ideally, I would have really liked to atleast have 128K context.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""It"",""category"":""INTELLIGENCE"",""opinion"":""pretty decent"",""sentiment"":""Positive""},{""aspect"":""It"",""category"":""TECHNICAL"",""opinion"":""limited 64K context"",""sentiment"":""Negative""}]",
HV900_0108,o068vnp,,Best end of world model that will run on 24gb vram,but I really can't think of a better model than a slightly quantized Llama 3.3 70B.,Yes,Llama 3.3 70B,COMPARATIVE,can't think of a better model than a slightly quantized Llama 3.3 70B,Positive,"[{""aspect"":""Llama 3.3 70B"",""category"":""COMPARATIVE"",""opinion"":""can't think of a better model than a slightly quantized Llama 3.3 70B"",""sentiment"":""Positive""}]",
HV900_0093,o8z0kas,,I bypassed writing a massive privacy policy for,"Qwen 3.5 0.8b is absurdly better. Actually you should use Qwen 3.5 2b Q4, it would massively improve your app.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Qwen 3.5 0.8b"",""category"":""COMPARATIVE"",""opinion"":""absurdly better"",""sentiment"":""Positive""},{""aspect"":""Qwen 3.5 2b"",""category"":""BEHAVIOR"",""opinion"":""massively improve your app"",""sentiment"":""Positive""}]",
HV900_0366,nm3ed4k,,Heres the best prompt you will ever need to test,I have a similar test from an obscure video game 'crypto'. I ask the llm to translate it. GPT-5 Pro is the only one I've tried that has been able to solve it so far.,Yes,GPT-5 Pro,INTELLIGENCE,is the only one I've tried that has been able to solve it so far,Positive,"[{""aspect"":""GPT-5 Pro"",""category"":""INTELLIGENCE"",""opinion"":""is the only one I've tried that has been able to solve it so far"",""sentiment"":""Positive""}]",
HV900_0029,npog8lv,,Opencode like claude code or gemini cli but works,"I'm using vLLM, not ollama. The first few models I tried did not work, mostly due to the combination of config params.",Yes,models,SOFTWARE,did not work,Negative,"[{""aspect"":""models"",""opinion"":""did not work"",""category"":""SOFTWARE"",""sentiment"":""Negative""}]",
HV900_0009,o60tpvh,,Serious question why would anyone use tinyaya,"I tested aya 8b it was really good as rag for hebrew, how is it with other languages I don't know.",Yes,aya 8,SOFTWARE,was really good as rag for hebrew,Positive,"[{""aspect"":""aya 8"",""category"":""SOFTWARE"",""opinion"":""was really good as rag for hebrew"",""sentiment"":""Positive""}]",
HV900_0015,o8p6bl8,how many T/s do you get on that gpu? isn't prompt processing extremely slow to usi it on opencode?,Trying to pick between iq4 xs and udiq4 nl for,"In the 150 range, I believe. Interestingly, the 35B-A3B is multiple folds faster but it tends to overthink and spend double the time finishing the same task. That’s why I don’t measure the speed on the big ones as long as they get the task done intelligently and quickly.",Yes,Multi,Multi,Multi,Mixed,"[{""aspect"":""35B-A3B"",""category"":""PERFORMANCE"",""opinion"":""is multiple folds faster"",""sentiment"":""Positive""},{""aspect"":""35B-A3B"",""category"":""BEHAVIOR"",""opinion"":""tends to overthink and spend double the time finishing the same task"",""sentiment"":""Negative""}]",
HV900_0893,oeey27v,Was Gemma advertised as a coder? I think of it as more of a conversational LLM.,So qwen35 or gemma 4,"These are literally some of the first points mentioned in the initial official Gemma 4 announcement blog post: - Agentic workflows: Native support for function-calling, structured JSON output, and native system instructions enables you to build autonomous agents that can interact with different tools and APIs and execute workflows reliably. - Code generation: Gemma 4 supports high-quality offline code, turning your workstation into a local-first AI code assistant.",Yes,Multi,Multi,Multi,Positive,"[{""aspect"":""Gemma 4"",""category"":""SOFTWARE"",""opinion"":""Native support for function-calling, structured JSON output, and native system instructions"",""sentiment"":""Positive""},{""aspect"":""Gemma"",""category"":""INTELLIGENCE"",""opinion"":""supports high-quality offline code"",""sentiment"":""Positive""}]",
